trigger(1): bCanEdit -> canBeEdited, OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/widget/KeyEditor.java, 199, ParameterName, 7a66ccb5ee5d3de8f3814267969139397de45e12
27: ['sig1b', 'sig1', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSTest.java', 74, 'FieldName']
28: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/jdk1.3/org/spongycastle/cms/test/SignedDataStreamTest.java', 1121, 'VariableName']
29: ['bOut', 'out', 'libraries/spongycastle/jce/src/main/java/javax/crypto/EncryptedPrivateKeyInfo.java', 226, 'VariableName']
30: ['bIn', 'in', 'libraries/spongycastle/core/src/main/java/org/spongycastle/crypto/engines/IESEngine.java', 356, 'VariableName']
31: ['x9B', 'x9', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/x9/X9Curve.java', 88, 'VariableName']
32: ['bX', 'X', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jce/provider/JCEECPublicKey.java', 347, 'VariableName']
33: ['bY', 'Y', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jce/provider/JCEECPublicKey.java', 348, 'VariableName']
34: ['bOut', 'out', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/DERUniversalString.java', 83, 'VariableName']
35: ['bLen', 'len', 'libraries/spongycastle/core/src/main/java/org/spongycastle/pqc/crypto/ntru/NTRUEngine.java', 388, 'VariableName']
36: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/OctetStringTest.java', 57, 'VariableName']
37: ['bKeyPair', 'keyPair', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 339, 'VariableName']
38: ['bSecret', 'secret', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 302, 'VariableName']
39: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/ocsp/OCSPReq.java', 309, 'VariableName']
40: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/ASN1SequenceParserTest.java', 76, 'VariableName']
41: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/PGPSignature.java', 518, 'VariableName']
42: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/asymmetric/rsa/PSSSignatureSpi.java', 332, 'FieldName']
43: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewSignedDataStreamTest.java', 196, 'ParameterName']
44: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/GenerationTest.java', 264, 'VariableName']
45: ['bOut', 'out', 'libraries/spongycastle/jce/src/main/java/javax/crypto/SealedObject.java', 98, 'VariableName']
46: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/SunProviderTest.java', 102, 'VariableName']
47: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/jdk1.1/org/spongycastle/jce/provider/test/CertTest.java', 843, 'VariableName']
48: ['bKeyPair', 'keyPair', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 274, 'ParameterName']
49: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/X509StreamParserTest.java', 89, 'VariableName']
50: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/jdk1.3/org/spongycastle/cms/test/SignedDataStreamTest.java', 667, 'VariableName']
51: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/AESTest.java', 58, 'VariableName']
52: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/PGPSignatureGenerator.java', 454, 'VariableName']
53: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cert/test/SHA1DigestCalculator.java', 16, 'FieldName']
54: ['bCoefficients', 'coefficients', 'libraries/zxing/src/com/google/zxing/common/reedsolomon/GenericGFPoly.java', 157, 'VariableName']
55: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/bcpg/SignaturePacket.java', 429, 'VariableName']
56: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/bcpg/TrustPacket.java', 18, 'VariableName']
57: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/X509NameTest.java', 302, 'VariableName']
58: ['slt8b', 'slt8', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSTest.java', 171, 'FieldName']
59: ['bPub', 'pub', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/IESTest.java', 162, 'VariableName']
60: ['bOut', 'out', 'libraries/spongycastle/core/src/main/java/org/spongycastle/util/encoders/Base64.java', 124, 'VariableName']
61: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPClearSignedSignatureTest.java', 362, 'ParameterName']
62: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/CipherStreamTest.java', 268, 'VariableName']
63: ['filenameEditText', 'filenameBeEditedText', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/dialog/FileDialogFragment.java', 167, 'VariableName']
64: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/PGPPublicKeyRingCollection.java', 270, 'VariableName']
65: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewSignedDataStreamTest.java', 1256, 'VariableName']
66: ['bOut', 'out', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/DERGenerator.java', 87, 'VariableName']
67: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPPBETest.java', 123, 'VariableName']
68: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/GenerationTest.java', 108, 'VariableName']
69: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewSignedDataStreamTest.java', 965, 'VariableName']
70: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/jdk1.3/org/spongycastle/cms/test/SignedDataTest.java', 1086, 'VariableName']
71: ['gost341094B', 'gost341094', 'libraries/spongycastle/pkix/src/test/jdk1.1/org/spongycastle/cert/test/CertTest.java', 574, 'FieldName']
72: ['bVal', 'val', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/SRP6Test.java', 125, 'VariableName']
73: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 362, 'VariableName']
74: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewCompressedDataStreamTest.java', 83, 'VariableName']
75: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewEnvelopedDataStreamTest.java', 427, 'VariableName']
76: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/tsp/test/SHA256DigestCalculator.java', 16, 'FieldName']
77: ['rB', 'r', 'libraries/spongycastle/pkix/src/main/java/org/spongycastle/eac/operator/jcajce/JcaEACSignerBuilder.java', 137, 'VariableName']
78: ['sB', 's', 'libraries/spongycastle/pkix/src/main/java/org/spongycastle/eac/operator/jcajce/JcaEACSignerBuilder.java', 138, 'VariableName']
79: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/BcPGPPBETest.java', 127, 'VariableName']
80: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/CMSTest.java', 159, 'VariableName']
81: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/BcSignedDataTest.java', 1463, 'VariableName']
82: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/OctetStringTest.java', 85, 'VariableName']
83: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/examples/ByteArrayHandler.java', 134, 'VariableName']
84: ['bI', 'I', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/asymmetric/ecgost/BCECGOST3410PrivateKey.java', 404, 'ParameterName']
85: IDMATCH EXMATCH ['setCanEdit', 'setCanBeEdited', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/widget/UserIdEditor.java', 55, 'MethodName']
86: ['BOOTSTRAP_EDIT_TEXT_WARNING', 'BOOTSTRAP_BE_EDITED_TEXT_WARNING', 'libraries/AndroidBootstrap/src/com/beardedhen/androidbootstrap/BootstrapEditText.java', 33, 'FieldName']
87: ['editIntent', 'beEditedIntent', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/KeyListFragment.java', 533, 'VariableName']
88: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPSignatureTest.java', 753, 'VariableName']
89: ['bOut1', 'out1', 'libraries/spongycastle/mail/src/test/java/org/spongycastle/mail/smime/test/SMIMECompressedTest.java', 136, 'VariableName']
90: ['bOut2', 'out2', 'libraries/spongycastle/mail/src/test/java/org/spongycastle/mail/smime/test/SMIMECompressedTest.java', 137, 'VariableName']
91: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/tsp/test/CMSTimeStampedDataParserTest.java', 80, 'VariableName']
92: ['EditKeyActivity', 'BeEditedKeyActivity', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/EditKeyActivity.java', 80, 'ClassName']
93: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/examples/ByteArrayHandler.java', 160, 'VariableName']
94: ['msg9b', 'msg9', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSTest.java', 203, 'FieldName']
95: ['bY', 'Y', 'libraries/zxing/src/com/google/zxing/common/detector/WhiteRectangleDetector.java', 266, 'ParameterName']
96: ['bIn', 'in', 'libraries/spongycastle/prov/src/main/jdk1.3/org/spongycastle/jce/provider/JDKPKCS12KeyStore.java', 670, 'VariableName']
97: ['msg1b', 'msg1', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSBlindTest.java', 76, 'FieldName']
98: ['bPriv', 'priv', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/IESTest.java', 115, 'VariableName']
99: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/bcpg/ECPublicBCPGKey.java', 71, 'VariableName']
100: ['bDeg', 'deg', 'libraries/spongycastle/core/src/main/java/org/spongycastle/math/ec/LongArray.java', 981, 'VariableName']
101: ['bIn', 'in', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPArmoredTest.java', 93, 'VariableName']
102: ['bPriv', 'priv', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/IESTest.java', 163, 'VariableName']
103: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/bcpg/DSAPublicBCPGKey.java', 61, 'VariableName']
104: ['bOut', 'out', 'libraries/spongycastle/pkix/src/main/java/org/spongycastle/cert/bc/BcX509ExtensionUtils.java', 62, 'FieldName']
105: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/PGPSignature.java', 297, 'VariableName']
106: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/BcPGPDSATest.java', 314, 'VariableName']
107: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jce/PKCS12Util.java', 70, 'VariableName']
108: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/ElGamalTest.java', 238, 'VariableName']
109: ['kB', 'k', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/DESTest.java', 77, 'VariableName']
110: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/ECNRTest.java', 215, 'VariableName']
111: ['bOut1', 'out1', 'libraries/spongycastle/mail/src/test/java/org/spongycastle/mail/smime/test/SMIMEMiscTest.java', 313, 'VariableName']
112: ['bOut2', 'out2', 'libraries/spongycastle/mail/src/test/java/org/spongycastle/mail/smime/test/SMIMEMiscTest.java', 318, 'VariableName']
113: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/BcSignedDataTest.java', 1325, 'VariableName']
114: ['bKeyAgree', 'keyAgree', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 602, 'VariableName']
115: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/jdk1.1/org/spongycastle/cert/test/CertTest.java', 1418, 'VariableName']
116: ['gB', 'g', 'libraries/spongycastle/core/src/main/jdk1.1/org/spongycastle/crypto/agreement/jpake/JPAKEParticipant.java', 399, 'VariableName']
117: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/mozilla/test/SPKACTest.java', 75, 'VariableName']
118: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/openssl/test/AllTests.java', 119, 'VariableName']
119: ['prepareNextCertB1', 'prepareNextCert1', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jce/provider/CertPathValidatorUtilities.java', 521, 'MethodName']
120: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/AESTest.java', 59, 'VariableName']
121: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/PKCS12StoreTest.java', 626, 'VariableName']
122: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPClearSignedSignatureTest.java', 204, 'VariableName']
123: ['bIn', 'in', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/EqualsAndHashCodeTest.java', 89, 'VariableName']
124: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/jdk1.3/org/spongycastle/cms/test/SignedDataStreamTest.java', 150, 'ParameterName']
125: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/mozilla/test/SPKACTest.java', 71, 'VariableName']
126: ['gostR3410_94_CryptoPro_B', 'gostR3410_94_CryptoPro_', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/cryptopro/CryptoProObjectIdentifiers.java', 60, 'FieldName']
127: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/openssl/test/ParserTest.java', 228, 'VariableName']
128: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/OIDTest.java', 73, 'VariableName']
129: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/FIPSDESTest.java', 86, 'VariableName']
130: IDMATCH EXMATCH ['bCanEdit', 'canBeEdited', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/widget/UserIdEditor.java', 55, 'ParameterName']
131: ['bOut', 'out', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/ASN1Object.java', 48, 'VariableName']
132: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/MiscTest.java', 60, 'VariableName']
133: ['mQueryEditText', 'mQueryBeEditedText', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/ImportKeysServerFragment.java', 47, 'FieldName']
134: ['bInv', 'inv', 'libraries/spongycastle/core/src/main/java/org/spongycastle/math/ec/ECFieldElement.java', 1198, 'VariableName']
135: ['id_Gost28147_89_CryptoPro_B_ParamSet', 'id_Gost28147_89_CryptoPro_ParamSet', 'libraries/spongycastle/core/src/main/java/org/spongycastle/asn1/cryptopro/CryptoProObjectIdentifiers.java', 28, 'FieldName']
136: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/CipherStreamTest.java', 115, 'VariableName']
137: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/CMSTestUtil.java', 493, 'VariableName']
138: ['bMag', 'mag', 'libraries/spongycastle/core/src/main/j2me/java/math/BigInteger.java', 2845, 'VariableName']
139: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPCompressionTest.java', 86, 'VariableName']
140: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/PGPOnePassSignature.java', 241, 'VariableName']
141: ['z8B', 'z8', 'libraries/spongycastle/core/src/main/java/org/spongycastle/crypto/engines/CAST5Engine.java', 420, 'VariableName']
142: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NullProviderTest.java', 101, 'VariableName']
143: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/examples/PGPExampleUtil.java', 29, 'VariableName']
144: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/ElGamalTest.java', 414, 'VariableName']
145: ['bCoeffs', 'coeffs', 'libraries/spongycastle/core/src/test/java/org/spongycastle/pqc/math/ntru/polynomial/test/IntegerPolynomialTest.java', 169, 'VariableName']
146: ['x8B', 'x8', 'libraries/spongycastle/core/src/main/java/org/spongycastle/crypto/engines/CAST5Engine.java', 421, 'VariableName']
147: ['bLen', 'len', 'libraries/spongycastle/core/src/main/java/org/spongycastle/math/ec/LongArray.java', 1001, 'VariableName']
148: ['bIn', 'in', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/keystore/bc/BcKeyStoreSpi.java', 218, 'VariableName']
149: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/ECDSA5Test.java', 741, 'VariableName']
150: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/X9Test.java', 120, 'VariableName']
151: ['bIn', 'in', 'libraries/spongycastle/prov/src/test/jdk1.1/org/spongycastle/jce/provider/test/CertTest.java', 507, 'VariableName']
152: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/BcSignedDataTest.java', 639, 'VariableName']
153: ['sig9b', 'sig9', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSTest.java', 207, 'FieldName']
154: ['bKeyPair', 'keyPair', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 600, 'VariableName']
155: ['bMax', 'max', 'libraries/spongycastle/core/src/main/java/org/spongycastle/math/ec/LongArray.java', 1027, 'VariableName']
156: ['bOut', 'out', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/pgp/PgpDecryptVerify.java', 739, 'ParameterName']
157: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/bcpg/ContainedPacket.java', 15, 'VariableName']
158: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/MiscDataStreamTest.java', 164, 'ParameterName']
159: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPDSATest.java', 451, 'VariableName']
160: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/ocsp/OCSPReq.java', 185, 'VariableName']
161: ['slt4b', 'slt4', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSTest.java', 136, 'FieldName']
162: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/keystore/bc/BcKeyStoreSpi.java', 281, 'VariableName']
163: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/jdk1.1/org/spongycastle/jce/provider/PKIXCertPathValidatorSpi.java', 540, 'VariableName']
164: ['RAND_PART_B_STATE', 'RAND_PART_STATE', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/apache/bzip2/CBZip2InputStream.java', 122, 'FieldName']
165: ['dB', 'd', 'libraries/zxing/src/com/google/zxing/qrcode/detector/FinderPatternFinder.java', 561, 'VariableName']
166: ['bMag', 'mag', 'libraries/spongycastle/core/src/main/j2me/java/math/BigInteger.java', 781, 'VariableName']
167: ['bOut', 'out', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/pgp/PgpSignEncrypt.java', 542, 'VariableName']
168: ['msg4b', 'msg4', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/PSSTest.java', 134, 'FieldName']
169: ['bIn', 'in', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/BcSignedDataTest.java', 1222, 'VariableName']
170: ['bOut', 'out', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/GOST3410Test.java', 486, 'VariableName']
171: ['mPassphraseEditText', 'mPassphraseBeEditedText', 'OpenPGP-Keychain/src/main/java/org/sufficientlysecure/keychain/ui/dialog/SetPassphraseDialogFragment.java', 52, 'FieldName']
172: ['bOut1', 'out1', 'libraries/spongycastle/mail/src/test/java/org/spongycastle/mail/smime/test/NewSMIMESignedTest.java', 1290, 'VariableName']
173: ['bOut2', 'out2', 'libraries/spongycastle/mail/src/test/java/org/spongycastle/mail/smime/test/NewSMIMESignedTest.java', 1295, 'VariableName']
174: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/GenerationTest.java', 189, 'VariableName']
175: ['getB', 'get', 'libraries/spongycastle/core/src/main/java/org/spongycastle/math/ec/ECCurve.java', 207, 'MethodName']
176: ['bOut', 'out', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/openpgp/PGPPublicKeyRing.java', 158, 'VariableName']
177: ['bOut', 'out', 'libraries/spongycastle/prov/src/main/java/org/spongycastle/jcajce/provider/keystore/bc/BcKeyStoreSpi.java', 144, 'VariableName']
178: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewEnvelopedDataStreamTest.java', 584, 'VariableName']
179: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/OctetStringTest.java', 29, 'VariableName']
180: ['setupNoRandPartB', 'setupNoRandPart', 'libraries/spongycastle/pg/src/main/java/org/spongycastle/apache/bzip2/CBZip2InputStream.java', 798, 'MethodName']
181: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/jdk1.3/org/spongycastle/cms/test/SignedDataStreamTest.java', 606, 'VariableName']
182: ['bOut', 'out', 'libraries/spongycastle/core/src/test/java/org/spongycastle/asn1/test/ASN1SequenceParserTest.java', 40, 'VariableName']
183: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPCompressionTest.java', 31, 'VariableName']
184: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/NewSignedDataStreamTest.java', 567, 'VariableName']
185: ['GOST3410_BExParam', 'GOST3410_ExParam', 'libraries/spongycastle/core/src/test/java/org/spongycastle/crypto/test/GOST3410Test.java', 1241, 'ClassName']
186: ['bOut', 'out', 'libraries/spongycastle/pg/src/test/java/org/spongycastle/openpgp/test/PGPPacketTest.java', 54, 'VariableName']
187: ['bKeyPair', 'keyPair', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/IESTest.java', 161, 'VariableName']
188: ['bKeyAgree', 'keyAgree', 'libraries/spongycastle/prov/src/test/java/org/spongycastle/jce/provider/test/DHTest.java', 341, 'VariableName']
189: ['bOut', 'out', 'libraries/spongycastle/pkix/src/test/java/org/spongycastle/cms/test/SunProviderTest.java', 129, 'VariableName']
